location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Holstenstraße (Mitte), Kiel;2020-05-06 00:00:00 +0200;Wednesday;11486;14;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-07 00:00:00 +0200;Thursday;11784;15;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-08 00:00:00 +0200;Friday;11936;19;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-09 00:00:00 +0200;Saturday;13797;19;rain;
Holstenstraße (Mitte), Kiel;2020-05-10 00:00:00 +0200;Sunday;2825;19;rain;
Holstenstraße (Mitte), Kiel;2020-05-11 00:00:00 +0200;Monday;12245;10;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-12 00:00:00 +0200;Tuesday;9587;11;rain;
Holstenstraße (Mitte), Kiel;2020-05-13 00:00:00 +0200;Wednesday;9327;9;rain;
Holstenstraße (Mitte), Kiel;2020-05-14 00:00:00 +0200;Thursday;13329;12;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-15 00:00:00 +0200;Friday;11160;13;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-16 00:00:00 +0200;Saturday;15454;14;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-17 00:00:00 +0200;Sunday;3210;17;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-18 00:00:00 +0200;Monday;13166;15;rain;
Holstenstraße (Mitte), Kiel;2020-05-19 00:00:00 +0200;Tuesday;15065;18;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-20 00:00:00 +0200;Wednesday;15826;18;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-21 00:00:00 +0200;Thursday;4224;20;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-22 00:00:00 +0200;Friday;16798;20;rain;
Holstenstraße (Mitte), Kiel;2020-05-23 00:00:00 +0200;Saturday;19953;16;rain;
Holstenstraße (Mitte), Kiel;2020-05-24 00:00:00 +0200;Sunday;3069;15;rain;
Holstenstraße (Mitte), Kiel;2020-05-25 00:00:00 +0200;Monday;16205;17;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-26 00:00:00 +0200;Tuesday;15593;18;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-27 00:00:00 +0200;Wednesday;14927;18;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-05-28 00:00:00 +0200;Thursday;15841;17;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-29 00:00:00 +0200;Friday;18204;19;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-30 00:00:00 +0200;Saturday;20894;20;clear-day;
Holstenstraße (Mitte), Kiel;2020-05-31 00:00:00 +0200;Sunday;4664;19;cloudy;
Holstenstraße (Mitte), Kiel;2020-06-01 00:00:00 +0200;Monday;4768;21;clear-day;
Holstenstraße (Mitte), Kiel;2020-06-02 00:00:00 +0200;Tuesday;19142;25;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-06-03 00:00:00 +0200;Wednesday;17610;22;rain;
Holstenstraße (Mitte), Kiel;2020-06-04 00:00:00 +0200;Thursday;14651;18;rain;
Holstenstraße (Mitte), Kiel;2020-06-05 00:00:00 +0200;Friday;18115;16;rain;
Holstenstraße (Mitte), Kiel;2020-06-06 00:00:00 +0200;Saturday;20887;15;rain;
Holstenstraße (Mitte), Kiel;2020-06-07 00:00:00 +0200;Sunday;4885;17;rain;
Holstenstraße (Mitte), Kiel;2020-06-08 00:00:00 +0200;Monday;19196;18;clear-day;
Holstenstraße (Mitte), Kiel;2020-06-09 00:00:00 +0200;Tuesday;18248;17;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-06-10 00:00:00 +0200;Wednesday;16609;20;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-06-11 00:00:00 +0200;Thursday;18337;18;rain;
Holstenstraße (Mitte), Kiel;2020-06-12 00:00:00 +0200;Friday;18126;20;rain;
Holstenstraße (Mitte), Kiel;2020-06-13 00:00:00 +0200;Saturday;14054;21;rain;
Holstenstraße (Mitte), Kiel;2020-06-14 00:00:00 +0200;Sunday;5050;21;rain;
Holstenstraße (Mitte), Kiel;2020-06-15 00:00:00 +0200;Monday;18673;22;clear-day;
Holstenstraße (Mitte), Kiel;2020-06-16 00:00:00 +0200;Tuesday;16501;25;clear-day;
Holstenstraße (Mitte), Kiel;2020-06-17 00:00:00 +0200;Wednesday;15584;24;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-06-18 00:00:00 +0200;Thursday;16837;22;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-06-19 00:00:00 +0200;Friday;12633;18;rain;
