Datum,KielerWoche,Warengruppe,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode
2012-06-16,1.0,,,,,,
2012-06-17,1.0,,,,,,
2012-06-18,1.0,,,,,,
2012-06-19,1.0,,,,,,
2012-06-20,1.0,,,,,,
2012-06-21,1.0,,,,,,
2012-06-22,1.0,,,,,,
2012-06-23,1.0,,,,,,
2012-06-24,1.0,,,,,,
2013-06-22,1.0,,,,,,
2013-06-23,1.0,,,,,,
2013-06-24,1.0,,,,,,
2013-06-25,1.0,,,,,,
2013-06-26,1.0,,,,,,
2013-06-27,1.0,,,,,,
2013-06-28,1.0,,,,,,
2013-06-29,1.0,,,,,,
2013-06-30,1.0,,,,,,
2014-06-21,1.0,,,,,,
2014-06-22,1.0,,,,,,
2014-06-23,1.0,,,,,,
2014-06-24,1.0,,,,,,
2014-06-25,1.0,,,,,,
2014-06-26,1.0,,,,,,
2014-06-27,1.0,,,,,,
2014-06-28,1.0,,,,,,
2014-06-29,1.0,,,,,,
2015-06-20,1.0,,,,,,
2015-06-21,1.0,,,,,,
2015-06-22,1.0,,,,,,
2015-06-23,1.0,,,,,,
2015-06-24,1.0,,,,,,
2015-06-25,1.0,,,,,,
2015-06-26,1.0,,,,,,
2015-06-27,1.0,,,,,,
2015-06-28,1.0,,,,,,
2016-06-18,1.0,,,,,,
2016-06-19,1.0,,,,,,
2016-06-20,1.0,,,,,,
2016-06-21,1.0,,,,,,
2016-06-22,1.0,,,,,,
2016-06-23,1.0,,,,,,
2016-06-24,1.0,,,,,,
2016-06-25,1.0,,,,,,
2016-06-26,1.0,,,,,,
2017-06-17,1.0,,,,,,
2017-06-18,1.0,,,,,,
2017-06-19,1.0,,,,,,
2017-06-20,1.0,,,,,,
2017-06-21,1.0,,,,,,
2017-06-22,1.0,,,,,,
2017-06-23,1.0,,,,,,
2017-06-24,1.0,,,,,,
2017-06-25,1.0,,,,,,
2018-06-16,1.0,,,,,,
2018-06-17,1.0,,,,,,
2018-06-18,1.0,,,,,,
2018-06-19,1.0,,,,,,
2018-06-20,1.0,,,,,,
2018-06-21,1.0,,,,,,
2018-06-22,1.0,,,,,,
2018-06-23,1.0,,,,,,
2018-06-24,1.0,,,,,,
2019-06-22,1.0,,,,,,
2019-06-23,1.0,,,,,,
2019-06-24,1.0,,,,,,
2019-06-25,1.0,,,,,,
2019-06-26,1.0,,,,,,
2019-06-27,1.0,,,,,,
2019-06-28,1.0,,,,,,
2019-06-29,1.0,,,,,,
2019-06-30,1.0,,,,,,
2013-07-01,,1.0,148.828353112183,,,,
2013-07-02,,1.0,159.79375714468,,,,
2013-07-03,,1.0,111.885593514353,,,,
2013-07-04,,1.0,168.864940979931,,,,
2013-07-05,,1.0,171.280754117955,,,,
2013-07-06,,1.0,174.552359998476,,,,
2013-07-07,,1.0,92.6377553788373,,,,
2013-07-08,,1.0,135.500244042392,,,,
2013-07-09,,1.0,136.048382778344,,,,
2013-07-10,,1.0,135.132314289581,,,,
2013-07-11,,1.0,138.549392636714,,,,
2013-07-12,,1.0,101.447511461298,,,,
2013-07-13,,1.0,141.233309883732,,,,
2013-07-14,,1.0,112.524365708762,,,,
2013-07-15,,1.0,161.264677322182,,,,
2013-07-16,,1.0,116.821358174215,,,,
2013-07-17,,1.0,150.572919592838,,,,
2013-07-18,,1.0,101.90072129658,,,,
2013-07-19,,1.0,161.63511518654,,,,
2013-07-20,,1.0,134.328076682024,,,,
2013-07-21,,1.0,66.2887578161955,,,,
2013-07-22,,1.0,131.223948997842,,,,
2013-07-23,,1.0,110.315246796665,,,,
2013-07-24,,1.0,141.891908195545,,,,
2013-07-25,,1.0,167.701216640907,,,,
2013-07-26,,1.0,147.272084366206,,,,
2013-07-27,,1.0,161.403357795112,,,,
2013-07-28,,1.0,86.0791432446654,,,,
2013-07-29,,1.0,183.564164400591,,,,
2013-07-30,,1.0,132.111640117897,,,,
2013-07-31,,1.0,144.745431773143,,,,
2013-08-01,,1.0,157.854023011106,,,,
2013-08-02,,1.0,117.359342094889,,,,
2013-08-03,,1.0,186.027178770079,,,,
2013-08-04,,1.0,104.708216687715,,,,
2013-08-05,,1.0,146.775309890073,,,,
2013-08-06,,1.0,131.956277381283,,,,
2013-08-07,,1.0,160.593417296116,,,,
2013-08-08,,1.0,153.099424561652,,,,
2013-08-09,,1.0,125.620344387906,,,,
2013-08-10,,1.0,185.177162656408,,,,
2013-08-11,,1.0,73.2088330039992,,,,
2013-08-12,,1.0,154.504729536697,,,,
2013-08-13,,1.0,134.064451548102,,,,
2013-08-14,,1.0,156.972510536869,,,,
2013-08-15,,1.0,164.763795399756,,,,
2013-08-16,,1.0,147.79799759804,,,,
2013-08-17,,1.0,221.630418006017,,,,
2013-08-18,,1.0,92.489778506026,,,,
2013-08-19,,1.0,145.87913275728,,,,
2013-08-20,,1.0,111.842396126739,,,,
2013-08-21,,1.0,125.336522713024,,,,
2013-08-22,,1.0,132.916428220302,,,,
2013-08-23,,1.0,162.958958703106,,,,
2013-08-24,,1.0,201.543109556297,,,,
2013-08-25,,1.0,83.0226725739551,,,,
2013-08-26,,1.0,165.829031676714,,,,
2013-08-27,,1.0,118.473650434102,,,,
2013-08-28,,1.0,108.876991442649,,,,
2013-08-29,,1.0,178.178023803315,,,,
2013-08-30,,1.0,133.150828452892,,,,
2013-08-31,,1.0,130.821314898435,,,,
2013-09-01,,1.0,95.9704314892471,,,,
2013-09-02,,1.0,138.408723210465,,,,
2013-09-03,,1.0,138.825618927843,,,,
2013-09-04,,1.0,100.221969526295,,,,
2013-09-05,,1.0,173.658100347255,,,,
2013-09-06,,1.0,171.415179710314,,,,
2013-09-07,,1.0,186.034060963767,,,,
2013-09-08,,1.0,88.8925958109828,,,,
2013-09-09,,1.0,169.359968504942,,,,
2013-09-10,,1.0,89.6944536084346,,,,
2013-09-11,,1.0,103.363686559795,,,,
2013-09-12,,1.0,106.474399987548,,,,
2013-09-13,,1.0,122.564626199915,,,,
2013-09-14,,1.0,174.938807466572,,,,
2013-09-15,,1.0,55.1960062296304,,,,
2013-09-16,,1.0,146.760234890658,,,,
2013-09-17,,1.0,136.118044538363,,,,
2013-09-18,,1.0,152.255085210606,,,,
2013-09-19,,1.0,148.674992078993,,,,
2013-09-20,,1.0,110.159250328825,,,,
2013-09-21,,1.0,178.263887943827,,,,
2013-09-22,,1.0,86.6668973821597,,,,
2013-09-23,,1.0,111.128410563554,,,,
2013-09-24,,1.0,139.64144576808,,,,
2013-09-25,,1.0,117.94119333604,,,,
2013-09-26,,1.0,203.314345156607,,,,
2013-09-27,,1.0,135.507291692088,,,,
2013-09-28,,1.0,134.613756840197,,,,
2013-09-29,,1.0,68.6316896995448,,,,
2013-09-30,,1.0,156.502435955326,,,,
2013-10-01,,1.0,123.397540137977,,,,
2013-10-02,,1.0,196.720969158391,,,,
2013-10-03,,1.0,75.2337302417469,,,,
2013-10-04,,1.0,156.066122625816,,,,
2013-10-05,,1.0,152.280762053885,,,,
2013-10-06,,1.0,92.4805772695364,,,,
2013-10-07,,1.0,124.841544023845,,,,
2013-10-08,,1.0,96.867100978839,,,,
2013-10-09,,1.0,149.761758936995,,,,
2013-10-10,,1.0,119.300284972145,,,,
2013-10-11,,1.0,123.2348187168,,,,
2013-10-12,,1.0,140.262421715801,,,,
2013-10-13,,1.0,42.9967926268111,,,,
2013-10-14,,1.0,109.863744271226,,,,
2013-10-15,,1.0,130.431802598324,,,,
2013-10-16,,1.0,146.070583461057,,,,
2013-10-17,,1.0,89.9411837855476,,,,
2013-10-18,,1.0,111.233698203856,,,,
2013-10-19,,1.0,121.590860465012,,,,
2013-10-20,,1.0,70.1419855298474,,,,
2013-10-21,,1.0,122.987868193302,,,,
2013-10-22,,1.0,111.927088663048,,,,
2013-10-23,,1.0,125.816016210178,,,,
2013-10-24,,1.0,123.163406361057,,,,
2013-10-25,,1.0,113.661858634409,,,,
2013-10-26,,1.0,161.678805315967,,,,
2013-10-27,,1.0,102.355195816072,,,,
2013-10-28,,1.0,129.482192717092,,,,
2013-10-29,,1.0,112.285893935052,,,,
2013-10-30,,1.0,121.506077008915,,,,
2013-10-31,,1.0,133.723541287582,,,,
2013-11-01,,1.0,100.182160485504,,,,
2013-11-02,,1.0,149.172348030766,,,,
2013-11-03,,1.0,97.4532740046654,,,,
2013-11-04,,1.0,137.864260444157,,,,
2013-11-05,,1.0,103.700267261952,,,,
2013-11-06,,1.0,109.097001107423,,,,
2013-11-07,,1.0,118.470603286455,,,,
2013-11-08,,1.0,132.796244239256,,,,
2013-11-09,,1.0,99.9317959514759,,,,
2013-11-10,,1.0,108.561660295105,,,,
2013-11-11,,1.0,124.580485617569,,,,
2013-11-12,,1.0,111.970870543294,,,,
2013-11-13,,1.0,78.0382483442215,,,,
2013-11-14,,1.0,121.180219705286,,,,
2013-11-15,,1.0,122.76929773359,,,,
2013-11-16,,1.0,126.793397398979,,,,
2013-11-17,,1.0,74.3945185864517,,,,
2013-11-18,,1.0,129.109032642028,,,,
2013-11-19,,1.0,106.906118646237,,,,
2013-11-20,,1.0,124.324612351715,,,,
2013-11-21,,1.0,144.359927455555,,,,
2013-11-22,,1.0,107.962731413831,,,,
2013-11-23,,1.0,96.5196766761341,,,,
2013-11-24,,1.0,76.4120061231823,,,,
2013-11-25,,1.0,129.81992805086,,,,
2013-11-26,,1.0,123.431703158233,,,,
2013-11-27,,1.0,93.5321454303922,,,,
2013-11-28,,1.0,128.842426194061,,,,
2013-11-29,,1.0,104.966463375073,,,,
2013-11-30,,1.0,104.09003869481,,,,
2013-12-01,,1.0,68.0762231823542,,,,
2013-12-02,,1.0,113.931498716313,,,,
2013-12-03,,1.0,94.7658652080226,,,,
2013-12-04,,1.0,128.922855106228,,,,
2013-12-05,,1.0,120.974699669869,,,,
2013-12-06,,1.0,112.015650593347,,,,
2013-12-07,,1.0,121.408564819885,,,,
2013-12-08,,1.0,36.2650169585334,,,,
2013-12-09,,1.0,134.680550018524,,,,
2013-12-10,,1.0,104.352034970751,,,,
2013-12-11,,1.0,85.9079819233536,,,,
2013-12-12,,1.0,88.2075449690532,,,,
2013-12-13,,1.0,85.5324935340658,,,,
2013-12-14,,1.0,120.787742012371,,,,
2013-12-15,,1.0,71.5352172710921,,,,
2013-12-16,,1.0,120.791211521354,,,,
2013-12-17,,1.0,74.6283250889016,,,,
2013-12-18,,1.0,86.4115250991858,,,,
2013-12-19,,1.0,101.589644453608,,,,
2013-12-20,,1.0,114.601001275823,,,,
2013-12-21,,1.0,124.541759682586,,,,
2013-12-22,,1.0,41.7300439888931,,,,
2013-12-23,,1.0,183.608991270752,,,,
2013-12-24,,1.0,220.330670230618,,,,
2013-12-27,,1.0,152.367434643543,,,,
2013-12-29,,1.0,131.267289010755,,,,
2013-12-30,,1.0,126.58984459848,,,,
2013-12-31,,1.0,211.390838466052,,,,
2014-01-02,,1.0,153.166492227541,,,,
2014-01-03,,1.0,109.484763536521,,,,
2014-01-04,,1.0,116.250540066432,,,,
2014-01-05,,1.0,67.7899909491401,,,,
2014-01-06,,1.0,146.911067784297,,,,
2014-01-07,,1.0,147.5457609484,,,,
2014-01-08,,1.0,99.9068767897401,,,,
2014-01-09,,1.0,113.541525918277,,,,
2014-01-10,,1.0,119.05554059635,,,,
2014-01-11,,1.0,127.95986526115,,,,
2014-01-12,,1.0,83.4017498521773,,,,
2014-01-13,,1.0,103.994034974792,,,,
2014-01-14,,1.0,166.347532764571,,,,
2014-01-15,,1.0,139.042567223334,,,,
2014-01-16,,1.0,117.779119691395,,,,
2014-01-17,,1.0,94.7938386484339,,,,
2014-01-18,,1.0,102.633649837911,,,,
2014-01-19,,1.0,53.0014671833047,,,,
2014-01-20,,1.0,99.6819363621683,,,,
2014-01-21,,1.0,116.784600007305,,,,
2014-01-22,,1.0,102.344424741026,,,,
2014-01-23,,1.0,105.740276056438,,,,
2014-01-24,,1.0,143.164448746188,,,,
2014-01-25,,1.0,129.09233380561,,,,
2014-01-26,,1.0,65.4883238458282,,,,
2014-01-27,,1.0,177.797639286942,,,,
2014-01-28,,1.0,63.9844736113181,,,,
2014-01-29,,1.0,75.1156293987916,,,,
2014-01-30,,1.0,140.794194214435,,,,
2014-01-31,,1.0,133.303478983532,,,,
2014-02-01,,1.0,101.932146850505,,,,
2014-02-02,,1.0,76.7574943519772,,,,
2014-02-03,,1.0,154.323103655617,,,,
2014-02-04,,1.0,130.284962020954,,,,
2014-02-05,,1.0,128.512982776585,,,,
2014-02-06,,1.0,93.2145715747619,,,,
2014-02-07,,1.0,99.7607356052368,,,,
2014-02-08,,1.0,120.862739831777,,,,
2014-02-09,,1.0,57.0074894928223,,,,
2014-02-10,,1.0,154.183743327497,,,,
2014-02-11,,1.0,93.60500318626259,,,,
2014-02-12,,1.0,165.738384661521,,,,
2014-02-13,,1.0,112.481302733138,,,,
2014-02-14,,1.0,127.922310495651,,,,
2014-02-15,,1.0,169.517528839106,,,,
2014-02-16,,1.0,66.1488570531461,,,,
2014-02-17,,1.0,139.563931976797,,,,
2014-02-18,,1.0,101.128808084497,,,,
2014-02-19,,1.0,139.712963296062,,,,
2014-02-20,,1.0,115.493305434483,,,,
2014-02-21,,1.0,195.749507104036,,,,
2014-02-22,,1.0,138.333592943018,,,,
2014-02-23,,1.0,79.4422222430818,,,,
2014-02-24,,1.0,152.556733984074,,,,
2014-02-25,,1.0,115.741936459404,,,,
2014-02-26,,1.0,95.0173566075507,,,,
2014-02-27,,1.0,142.599019478366,,,,
2014-02-28,,1.0,121.868073185287,,,,
2014-03-01,,1.0,140.96854447309,,,,
2014-03-02,,1.0,78.304687930775,,,,
2014-03-03,,1.0,123.816845981151,,,,
2014-03-04,,1.0,110.664379295042,,,,
2014-03-05,,1.0,104.010771805795,,,,
2014-03-06,,1.0,119.64957040592,,,,
2014-03-07,,1.0,115.297355656246,,,,
2014-03-08,,1.0,116.679903321343,,,,
2014-03-09,,1.0,92.618539664325,,,,
2014-03-10,,1.0,150.516891177572,,,,
